classe,numero,incidente_id,descricao,andamento_data,andamento_nome,destinatarios,url
ADI,6297,5840114,PTN ação regras eleitorais,03/04/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5840114
ADI,6298,5840274,AMB Ajufe juiz de garantias,16/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5840274
ADO,55,5786819,PSOL grandes fortunas,21/11/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5786819
ADPF,569,5650503,Acordos leniência,13/12/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5650503
ADPF,572,5658808,Fake News Rede,12/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5658808
ADPF,581,5691348,decreto armas Rede,18/09/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5691348
ADPF,582,5695546,cortes educação,15/10/2019,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5695546
ADPF,583,5696172,cortes educação,16/10/2019,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5696172
ADPF,586,5702520,decreto armas Rede,18/09/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5702520
ADPF,595,5722420,cortes educação,06/08/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5722420
ADPF,600,5733808,lei londrina,02/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5733808
ADPF,601,5734322,Rede protege Gleen,22/01/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5734322
ADPF,605,5739926,Fux detruição hacker PDT,04/02/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5739926
ADPF,613,5752906,PSB suspensão edital do Enem,28/01/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5752906
ADPF,619,5772437,portaria MJ deportação sumária,24/10/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5772437
ADPF,622,5774611,PGR Conanda Bolso,05/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5774611
ADPF,623,5774620,PGR Conama Bolso,03/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5774620
ADPF,624,5775645,PGR escola sem partido,02/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5775645
ADPF,627,5795793,PDT anular Embraer Boing,02/12/2019,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5795793
AP,1032,5582274,Tornozeleira Dudu da Fonte,20/03/2020,Lançamento indevido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5582274
AP,935,4766414,Acyr Gurgacz,15/10/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4766414
AP,968,4886605,Maluf execução pena,12/03/2020,Vista à PGR para fins de intimação,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4886605
EP,10,4499927,Execução Pizzolato,12/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4499927
EP,26,5727784,Acyr Gurgacz execução,09/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5727784
HC,143641,5183497,grávidas,07/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5183497
HC,157627,5472232,anula condenação Bendine,03/04/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5472232
HC,163943,5572265,Lula ordem de alegações ONU,23/09/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5572265
HC,164493,5581966,Lula suspeição Moro,06/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5581966
HC,166373,5607116,ex-gerente Márcio Ferreira,18/03/2020,Excluído do calendário de julgamento pelo Presidente,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5607116
HC,170271,5676832,Fake News,11/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5676832
HC,170285,5677121,Fake News ANPR,18/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5677121
HC,170330,5678336,Fake news Paulo Chagas,16/03/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5678336
HC,172996,5726681,anula sumula TRF4 segunda instancia,10/02/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5726681
HC,174398,5749345,Lula suspeição procuradores,02/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5749345
HC,178596,5817275,Lula suspender apelação sítio,09/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5817275
HC,180015,5837705,Flavio Bolsonaro,03/02/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5837705
HC,180241,5839828,Gesivaldo Britto liberdade TJ-BA,20/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5839828
Inq,4244,4974872,Aécio,17/01/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4974872
Inq,4258,4988396,Rodrigo Maia OAS PF viu indícios,08/10/2019,Ciência,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4988396
Inq,4267,5001181,Jucá sigilo,10/03/2020,Ciência,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5001181
Inq,4325,5067185,Arquivar quadrilhao PT Gleisi PB,19/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5067185
Inq,4382,5149704,Renan,17/03/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149704
Inq,4387,5149716,Paulinho,08/04/2020,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149716
Inq,4389,5149724,Renan MP pediu arquivamento,04/03/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149724
Inq,4407,5149759,Ciro,26/03/2020,Juntada a petição nº,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149759
Inq,4423,5149787,Aécio,17/12/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149787
Inq,4431,5149802,Rodrigo Maia Odebrecht,17/09/2019,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149802
Inq,4436,5149812,Aécio,01/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5149812
Inq,4492,5182675,Renan,27/02/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5182675
Inq,4513,5215401,Fernando Bezerra Coelho,08/04/2020,Deferido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5215401
Inq,4781,5651823,Inq Fake News,07/04/2020,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5651823
Inq,4785,5693156,Collor,20/03/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5693156
Inq,4789,5729549,Flordelis,04/09/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5729549
Inq,4800,5784494,inq Wilson Santiago,07/04/2020,Certidão,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5784494
MS,36422,5677287,Fake News ANPR,17/03/2020,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5677287
MS,36620,5747558,Eduardo Bolsonaro - embaixador EUA,29/08/2019,Intimado eletronicamente,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5747558
MS,36684,5772019,conselho Conanda,05/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5772019
MS,36685,5772032,dep Boca Aberta conselho etica camara,17/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5772032
MS,36824,5818583,Contarato contra mp verde amarelo,16/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5818583
MS,36834,5823097,PT pede  suspensão policiais GLO,02/04/2020,Intimação eletrônica disponibilizada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5823097
Pet,5738,4818180,Delação Ceará,07/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4818180
Pet,5952,4931448,Delação Delcídio,12/02/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4931448
Pet,5998,4951286,delação Andrade,26/03/2020,Vista à PGR para fins de intimação,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4951286
Pet,6121,4975655,Delação Nelson Mello,10/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4975655
Pet,6601,5138902,Delação João Lyra,16/03/2020,"Ata de Julgamento Publicada, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5138902
Pet,6890,5156842,delação João Santana,06/04/2020,Despacho,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5156842
Pet,6901,5158957,Delação Pedro Correa,27/03/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5158957
Pet,7003,5183169,Delação JBS,07/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5183169
Pet,7210,5252964,delação Funaro,11/03/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5252964
Pet,7254,5264064,delação OAS,02/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5264064
Pet,7802,5526402,delação Palocci,27/03/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5526402
Pet,7997,5601623,Marcelo Castro JBS,26/02/2020,Pauta publicada no DJE - 2ª Turma,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5601623
Pet,8059,5626564,Geddel transferência,18/02/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5626564
Pet,8261,5727737,Operação Sérgio Souza,07/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5727737
Pet,8314,5746460,JpCunha sigilo,03/04/2020,Pauta publicada no DJE - Plenário,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5746460
Pet,8360,5764559,Delação Léo Pinheiro?,13/12/2019,Certidão,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5764559
Pet,8365,5765201,Delação Léo Pinheiro?,07/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5765201
Pet,8370,5767049,Zaratinni pede sigilo,03/12/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5767049
Pet,8374,5770030,revogação cautelares MarcIo Junqueira,06/04/2020,Vista à PGR para fins de intimação,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5770030
Pet,8411,5786675,Anibal Gomes,06/12/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5786675
Pet,8493,5810903,Deltan suspensão CNMP,18/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5810903
Pet,8510,5817846,Nelson Meurer pede,03/12/2019,Juntada a petição nº,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5817846
Pet,8623,5827429,Glenn Bolsonaro explique filhos,10/03/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5827429
Pet,8625,5829411,Delação Leonardo Meirelles,31/03/2020,Intimação eletrônica disponibilizada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5829411
Rcl,24619,5015460,audios Bessias,10/10/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5015460
Rcl,30372,5450144,Reclamação Lula com Carmen,18/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5450144
Rcl,30524,5463137,João Rodrigues quer domiciliar,27/03/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5463137
Rcl,33543,5641875,Drousys acesso ação instituto Lula,18/03/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5641875
Rcl,34367,5676537,Fake News Antagonista,14/08/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5676537
Rcl,34796,5694116,Cunha,02/03/2020,Pauta publicada no DJE - 2ª Turma,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5694116
Rcl,35619,5726590,OAB Polícia DF,20/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5726590
Rcl,36679,5764639,Flavio Bolsonaro recl Coaf,07/01/2020,Juntada de AR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5764639
Rcl,36830,5772033,prefeitura Rio obras Bela Vista,03/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5772033
RE,1055941,5213056,Coaf,03/03/2020,Certidão,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5213056
RE,635659,4034145,Drogas,20/12/2019,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=4034145
RHC,162575,5551969,idosa,08/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5551969
RHC,165557,5594722,advogado preso estupro Uberaba,26/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5594722
SL,1232,5722940,Braskem,26/03/2020,Retirado de pauta,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5722940
SL,1252,5780050,Suspensão liminar Senado Bezerra,06/11/2019,Conclusos à Presidência,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5780050
Inq,4715,5477279,inq Sergio SOuza,28/02/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5477279
MS,36769,5799119,Cinco PSL mandato,10/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5799119
MS,36648,5759564,Bolsonaro pode bloquear Twitter,05/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5759564
Pet,8479,5807306,Oposição x Edu Ai5,04/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5807306
Pet,8481,5807498,GreenpeacexRicardo Salles oleo,29/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5807498
Inq,4707,5461011,JBS 40 milhoes,07/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5461011
AC,4427,5726007,operação MDB,01/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5726007
SS,5340,5831283,reforma da previdência de SP,31/03/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5831283
Pet,8351,5759641,impeachment Ricardo Salles,12/12/2019,Pauta publicada no DJE - Plenário,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5759641
Pet,8497,5812617,ABI Bolsonaro obstrução,31/03/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5812617
Pet,8485,5808590,Petistas Bolsonaro obstrução ,10/02/2020,"Baixa ao arquivo do STF, Guia nº",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5808590
Inq,4805,5810794,novo inq Acir Gurgacz,13/02/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5810794
Inq,4806,5815691,Inq presidencia da Câmara,09/03/2020,Certidão,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5815691
MS,36814,5815042,ANPR contra decisao Toffoli Coaf,18/11/2019,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5815042
ADI,6262,5817441,MP Dpvat,10/02/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5817441
Pet,8480,5807359,delação Sérgio Cabral ?,06/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5807359
Pet,8482,5807542,delação Sérgio Cabral ?,06/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5807542
ADI,6188,5731024,reforma trabalhista,06/02/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5731024
HC,180220,5839702,genro desembargadora TJBA liberdade,07/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/abaAndamentos.asp?incidente=5839702
